agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
USGS,02085070,2022-11-21 00:00,EST,4.12,P,1.30,P
USGS,02085070,2022-11-21 00:05,EST,4.12,P,1.30,P
USGS,02085070,2022-11-21 00:10,EST,4.12,P,1.30,P
USGS,02085070,2022-11-21 00:15,EST,4.00,P,1.29,P
USGS,02085070,2022-11-21 00:20,EST,4.00,P,1.29,P
USGS,02085070,2022-11-21 00:25,EST,4.00,P,1.29,P
USGS,02085070,2022-11-21 00:30,EST,4.00,P,1.29,P
USGS,02085070,2022-11-21 00:35,EST,4.00,P,1.29,P
USGS,02085070,2022-11-21 00:40,EST,4.00,P,1.29,P
USGS,02085070,2022-11-21 00:45,EST,4.00,P,1.29,P
USGS,02085070,2022-11-21 00:50,EST,4.00,P,1.29,P
USGS,02085070,2022-11-21 00:55,EST,4.00,P,1.29,P
USGS,02085070,2022-11-21 01:00,EST,4.00,P,1.29,P
USGS,02085070,2022-11-21 01:05,EST,4.00,P,1.29,P
USGS,02085070,2022-11-21 01:10,EST,4.00,P,1.29,P
USGS,02085070,2022-11-21 01:15,EST,4.00,P,1.29,P
USGS,02085070,2022-11-21 01:20,EST,4.00,P,1.29,P
USGS,02085070,2022-11-21 01:25,EST,4.00,P,1.29,P
USGS,02085070,2022-11-21 01:30,EST,4.00,P,1.29,P
USGS,02085070,2022-11-21 01:35,EST,4.00,P,1.29,P
USGS,02085070,2022-11-21 01:40,EST,4.00,P,1.29,P
USGS,02085070,2022-11-21 01:45,EST,4.00,P,1.29,P
USGS,02085070,2022-11-21 01:50,EST,4.00,P,1.29,P
USGS,02085070,2022-11-21 01:55,EST,4.00,P,1.29,P
USGS,02085070,2022-11-21 02:00,EST,3.88,P,1.28,P
USGS,02085070,2022-11-21 02:05,EST,3.88,P,1.28,P
USGS,02085070,2022-11-21 02:10,EST,3.88,P,1.28,P
USGS,02085070,2022-11-21 02:15,EST,3.88,P,1.28,P
USGS,02085070,2022-11-21 02:20,EST,3.88,P,1.28,P
USGS,02085070,2022-11-21 02:25,EST,3.88,P,1.28,P
USGS,02085070,2022-11-21 02:30,EST,3.88,P,1.28,P
USGS,02085070,2022-11-21 02:35,EST,3.88,P,1.28,P
USGS,02085070,2022-11-21 02:40,EST,3.88,P,1.28,P
USGS,02085070,2022-11-21 02:45,EST,3.88,P,1.28,P
USGS,02085070,2022-11-21 02:50,EST,3.88,P,1.28,P
USGS,02085070,2022-11-21 02:55,EST,3.88,P,1.28,P
USGS,02085070,2022-11-21 03:00,EST,3.88,P,1.28,P
USGS,02085070,2022-11-21 03:05,EST,3.88,P,1.28,P
USGS,02085070,2022-11-21 03:10,EST,3.88,P,1.28,P
USGS,02085070,2022-11-21 03:15,EST,3.88,P,1.28,P
USGS,02085070,2022-11-21 03:20,EST,3.88,P,1.28,P
USGS,02085070,2022-11-21 03:25,EST,3.76,P,1.27,P
USGS,02085070,2022-11-21 03:30,EST,3.76,P,1.27,P
USGS,02085070,2022-11-21 03:35,EST,3.76,P,1.27,P
USGS,02085070,2022-11-21 03:40,EST,3.76,P,1.27,P
USGS,02085070,2022-11-21 03:45,EST,3.76,P,1.27,P
USGS,02085070,2022-11-21 03:50,EST,3.76,P,1.27,P
USGS,02085070,2022-11-21 03:55,EST,3.76,P,1.27,P
USGS,02085070,2022-11-21 04:00,EST,3.76,P,1.27,P
USGS,02085070,2022-11-21 04:05,EST,3.76,P,1.27,P
USGS,02085070,2022-11-21 04:10,EST,3.76,P,1.27,P
USGS,02085070,2022-11-21 04:15,EST,3.76,P,1.27,P
USGS,02085070,2022-11-21 04:20,EST,3.76,P,1.27,P
USGS,02085070,2022-11-21 04:25,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 04:30,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 04:35,EST,3.76,P,1.27,P
USGS,02085070,2022-11-21 04:40,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 04:45,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 04:50,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 04:55,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 05:00,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 05:05,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 05:10,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 05:15,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 05:20,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 05:25,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 05:30,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 05:35,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 05:40,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 05:45,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 05:50,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 05:55,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 06:00,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 06:05,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 06:10,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 06:15,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 06:20,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 06:25,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 06:30,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 06:35,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 06:40,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 06:45,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 06:50,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 06:55,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 07:00,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 07:05,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 07:10,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 07:15,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 07:20,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 07:25,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 07:30,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 07:35,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 07:40,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 07:45,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 07:50,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 07:55,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 08:00,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 08:05,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 08:10,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 08:15,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 08:20,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 08:25,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 08:30,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 08:35,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 08:40,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 08:45,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 08:50,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 08:55,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 09:00,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 09:05,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 09:10,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 09:15,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 09:20,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 09:25,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 09:30,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 09:35,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 09:40,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 09:45,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 09:50,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 09:55,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 10:00,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 10:05,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 10:10,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 10:15,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 10:20,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 10:25,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 10:30,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 10:35,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 10:40,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 10:45,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 10:50,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 10:55,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 11:00,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 11:05,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 11:10,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 11:15,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 11:20,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 11:25,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 11:30,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 11:35,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 11:40,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 11:45,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 11:50,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 11:55,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 12:00,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 12:05,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 12:10,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 12:15,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 12:20,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 12:25,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 12:30,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 12:35,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 12:40,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 12:45,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 12:50,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 12:55,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 13:00,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 13:05,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 13:10,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 13:15,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 13:20,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 13:25,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 13:30,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 13:35,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 13:40,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 13:45,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 13:50,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 13:55,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 14:00,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 14:05,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 14:10,EST,3.22,P,1.22,P
USGS,02085070,2022-11-21 14:15,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 14:20,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 14:25,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 14:30,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 14:35,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 14:40,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 14:45,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 14:50,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 14:55,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 15:00,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 15:05,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 15:10,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 15:15,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 15:20,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 15:25,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 15:30,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 15:35,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 15:40,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 15:45,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 15:50,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 15:55,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 16:00,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 16:05,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 16:10,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 16:15,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 16:20,EST,3.32,P,1.23,P
USGS,02085070,2022-11-21 16:25,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 16:30,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 16:35,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 16:40,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 16:45,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 16:50,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 16:55,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 17:00,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 17:05,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 17:10,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 17:15,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 17:20,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 17:25,EST,3.43,P,1.24,P
